2026-04-03 22:37:01,664 [INFO] RPA: Avvio sessione per la lega 'serie_a'
2026-04-03 22:42:34,776 [INFO]   Competizioni trovate nelle partite: 4
2026-04-03 22:42:34,777 [INFO]     → Serie A 25/26 (tid=23, sid=76457)
2026-04-03 22:42:34,777 [INFO]     → World Cup Qual. UEFA 2026 (tid=11, sid=69427)
2026-04-03 22:42:34,778 [INFO]     → Coppa Italia 25/26 (tid=328, sid=77308)
2026-04-03 22:42:34,779 [INFO]     → International Friendly Games 2026 (tid=851, sid=87155)
2026-04-03 22:42:34,780 [INFO]   [PW] Step 7: 4 competizioni...
2026-04-03 22:42:35,782 [INFO]   [PW] → Serie A 25/26 (tid=23, sid=76457)
2026-04-03 22:42:35,991 [INFO]       ✅ Stats: 112 campi
2026-04-03 22:42:35,993 [INFO]       Navigazione heatmap: tid=23 sid=76457
2026-04-03 22:42:43,962 [INFO]       ⏱ Timeout heatmap — provo JS fetch
2026-04-03 22:42:43,964 [INFO]       Heatmap JS fetch: /unique-tournament/23/season/76457/heatmap/overall
2026-04-03 22:42:44,607 [INFO]       ✅ Heatmap JS: 1352 punti
2026-04-03 22:42:44,607 [INFO]       ✅ Heatmap finale: 1352 punti
2026-04-03 22:42:45,123 [INFO]   [PW] → World Cup Qual. UEFA 2026 (tid=11, sid=69427)
2026-04-03 22:42:45,371 [INFO]       ✅ Stats: 110 campi
2026-04-03 22:42:45,371 [INFO]       Navigazione heatmap: tid=11 sid=69427
